,directors,actors,writers,producers,year,genres,certificates,duration,Budget,Gross US,Gross Worldwide,titles,Profits,profit-per-length,profit-per-budget,len-genres,MAD
184,Christopher McQuarrie,"['Tom Cruise', 'Henry Cavill', 'Ving Rhames', 'Simon Pegg', 'Rebecca Ferguson', 'Sean Harris', 'Angela Bassett', 'Vanessa Kirby', 'Michelle Monaghan', 'Wes Bentley']","['Bruce Geller', 'Christopher McQuarrie']",Tom Cruise,2018,Action," PG-13
",147.0,178000000.0,220159104.0,791115104.0,Mission: Impossible - Fallout,613115104.0,4170851.0476190476,3.4444668764044946,2,1.0160777956212192
184,Christopher McQuarrie,"['Tom Cruise', 'Henry Cavill', 'Ving Rhames', 'Simon Pegg', 'Rebecca Ferguson', 'Sean Harris', 'Angela Bassett', 'Vanessa Kirby', 'Michelle Monaghan', 'Wes Bentley']","['Bruce Geller', 'Christopher McQuarrie']",Christopher McQuarrie,2018,Action," PG-13
",147.0,178000000.0,220159104.0,791115104.0,Mission: Impossible - Fallout,613115104.0,4170851.0476190476,3.4444668764044946,2,1.0160777956212192
184,Christopher McQuarrie,"['Tom Cruise', 'Henry Cavill', 'Ving Rhames', 'Simon Pegg', 'Rebecca Ferguson', 'Sean Harris', 'Angela Bassett', 'Vanessa Kirby', 'Michelle Monaghan', 'Wes Bentley']","['Bruce Geller', 'Christopher McQuarrie']",Jake Myers,2018,Action," PG-13
",147.0,178000000.0,220159104.0,791115104.0,Mission: Impossible - Fallout,613115104.0,4170851.0476190476,3.4444668764044946,2,1.0160777956212192
185,David Leitch,"['Ryan Reynolds', 'Josh Brolin', 'Morena Baccarin', 'Julian Dennison', 'Zazie Beetz', 'T.J. Miller', 'Leslie Uggams', 'Karan Soni', 'Brianna Hildebrand', 'Jack Kesy']","['Rhett Reese', 'Paul Wernick', 'Ryan Reynolds']",Simon Kinberg,2018,Action," R
",119.0,110000000.0,324591735.0,785794179.0,Deadpool 2,675794179.0,5678942.680672269,6.143583445454546,2,2.1051969420107466
185,David Leitch,"['Ryan Reynolds', 'Josh Brolin', 'Morena Baccarin', 'Julian Dennison', 'Zazie Beetz', 'T.J. Miller', 'Leslie Uggams', 'Karan Soni', 'Brianna Hildebrand', 'Jack Kesy']","['Rhett Reese', 'Paul Wernick', 'Ryan Reynolds']",Ryan Reynolds,2018,Action," R
",119.0,110000000.0,324591735.0,785794179.0,Deadpool 2,675794179.0,5678942.680672269,6.143583445454546,2,2.1051969420107466
185,David Leitch,"['Ryan Reynolds', 'Josh Brolin', 'Morena Baccarin', 'Julian Dennison', 'Zazie Beetz', 'T.J. Miller', 'Leslie Uggams', 'Karan Soni', 'Brianna Hildebrand', 'Jack Kesy']","['Rhett Reese', 'Paul Wernick', 'Ryan Reynolds']",Lauren Shuler Donner,2018,Action," R
",119.0,110000000.0,324591735.0,785794179.0,Deadpool 2,675794179.0,5678942.680672269,6.143583445454546,2,2.1051969420107466
186,David Yates,"['Johnny Depp', 'Kevin Guthrie', 'Carmen Ejogo', 'Wolf Roth', 'Eddie Redmayne', 'Zoë Kravitz', 'Callum Turner', 'Derek Riddell', 'Cornell John', 'Ezra Miller']",['J.K. Rowling'],David Heyman,2018,Adventure," PG-13
",134.0,200000000.0,159555901.0,654855901.0,Fantastic Beasts: The Crimes of Grindelwald,454855901.0,3394447.0223880596,2.274279505,2,0.543896087845472
186,David Yates,"['Johnny Depp', 'Kevin Guthrie', 'Carmen Ejogo', 'Wolf Roth', 'Eddie Redmayne', 'Zoë Kravitz', 'Callum Turner', 'Derek Riddell', 'Cornell John', 'Ezra Miller']",['J.K. Rowling'],Steve Kloves,2018,Adventure," PG-13
",134.0,200000000.0,159555901.0,654855901.0,Fantastic Beasts: The Crimes of Grindelwald,454855901.0,3394447.0223880596,2.274279505,2,0.543896087845472
186,David Yates,"['Johnny Depp', 'Kevin Guthrie', 'Carmen Ejogo', 'Wolf Roth', 'Eddie Redmayne', 'Zoë Kravitz', 'Callum Turner', 'Derek Riddell', 'Cornell John', 'Ezra Miller']",['J.K. Rowling'],J.K. Rowling,2018,Adventure," PG-13
",134.0,200000000.0,159555901.0,654855901.0,Fantastic Beasts: The Crimes of Grindelwald,454855901.0,3394447.0223880596,2.274279505,2,0.543896087845472
186,David Yates,"['Johnny Depp', 'Kevin Guthrie', 'Carmen Ejogo', 'Wolf Roth', 'Eddie Redmayne', 'Zoë Kravitz', 'Callum Turner', 'Derek Riddell', 'Cornell John', 'Ezra Miller']",['J.K. Rowling'],Lionel Wigram,2018,Adventure," PG-13
",134.0,200000000.0,159555901.0,654855901.0,Fantastic Beasts: The Crimes of Grindelwald,454855901.0,3394447.0223880596,2.274279505,2,0.543896087845472
