,Unnamed: 0,directors,actors,writers,producers,year,genres,certificates,duration,Budget,Gross US,Gross Worldwide,titles,Profits,profit-per-length,profit-per-budget,len-genres,macrogenres,MAD
356,2401,['Scott Derrickson'],"['Benedict Cumberbatch', 'Chiwetel Ejiofor', 'Rachel McAdams', 'Benedict Wong', 'Mads Mikkelsen', 'Tilda Swinton', 'Michael Stuhlbarg', 'Benjamin Bratt', 'Scott Adkins', 'Zara Phythian']","['Jon Spaihts', 'Scott Derrickson', 'C. Robert Cargill', 'Stan Lee', 'Steve Ditko']",['Kevin Feige'],2016,Action  Adventure," PG-13
",115.0,165000000.0,232641920.0,677718395.0,Doctor Strange,512718395.0,4458420.826086956,3.1073842121212123,2,Action,0.9907043347682378
357,2402,"['Ron Clements', 'John Musker']","[""Auli'i Cravalho"", 'Dwayne Johnson', 'Rachel House', 'Temuera Morrison', 'Jemaine Clement', 'Nicole Scherzinger', 'Alan Tudyk', 'Oscar Kightley', 'Troy Polamalu', 'Puanani Cravalho']","['Jared Bush', 'Ron Clements', 'John Musker', 'Chris Williams']",['Osnat Shurer'],2016,Animation  Adventure," PG
",107.0,150000000.0,248757044.0,690845539.0,Moana,540845539.0,5054631.205607477,3.6056369266666666,2,Animation,1.2118934499069356
358,2404,['Stephen Chow'],"['Chao Deng', 'Show Lo', 'Yuqi Zhang', 'Yun Lin', 'Hark Tsui', 'Zhang Wen', 'Kris Wu', 'Sheung-ching Lee', 'Zhengyu Lu', 'Chi Ling Chiu']","['Hing-Ka Chan', 'Stephen Chow', 'Chi Keung Fung', 'Miu-Kei Ho']","['Stephen Chow', 'Ivy Kong']",2016,Comedy  Drama," R
",94.0,60720000.0,3232685.0,553810228.0,The Mermaid,493090228.0,5245640.723404257,8.120721805006587,2,Comedy,3.216273154947188
359,2405,['Bryan Singer'],"['James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence', 'Nicholas Hoult', 'Oscar Isaac', 'Rose Byrne', 'Evan Peters', 'Josh Helman', 'Sophie Turner', 'Tye Sheridan']","['Simon Kinberg', 'Bryan Singer', 'Michael Dougherty', 'Dan Harris']","['Simon Kinberg', 'Hutch Parker', 'Lauren Shuler Donner', 'Bryan Singer']",2016,Action  Adventure," PG-13
",144.0,178000000.0,155442489.0,543934105.0,X-Men: Apocalypse,365934105.0,2541209.0625,2.055809578651685,2,Action,0.5238792560697327
361,2408,['Duncan Jones'],"['Travis Fimmel', 'Paula Patton', 'Ben Foster', 'Dominic Cooper', 'Toby Kebbell', 'Ben Schnetzer', 'Robert Kazinsky', 'Clancy Brown', 'Daniel Wu', 'Ruth Negga']","['Charles Leavitt', 'Duncan Jones']","['Stuart Fenegan', 'Alex Gartner', 'Jon Jashni', 'Charles Roven', 'Thomas Tull']",2016,Action  Adventure," PG-13
",123.0,160000000.0,47365290.0,439048914.0,Warcraft,279048914.0,2268690.3577235774,1.7440557125,2,Action,0.3854824951849137
362,2410,['Mike Thurmeier'],"['Stephanie Beatriz', 'Robert Cardone', 'Neil deGrasse Tyson', 'Adam Devine', 'Jesse Tyler Ferguson', 'Max Greenfield', 'Jessie J', 'Queen Latifah', 'Denis Leary', 'John Leguizamo']","['Michael J. Wilson', 'Michael Berg', 'Yoni Brenner', 'Aubrey Solomon']",['Lori Forte'],2016,Animation  Adventure," PG
",94.0,105000000.0,64063008.0,408579038.0,Ice Age: Collision Course,303579038.0,3229564.234042553,2.891228933333333,2,Animation,0.8947466140134862
363,2411,['Roland Emmerich'],"['Liam Hemsworth', 'Jeff Goldblum', 'Jessie T. Usher', 'Bill Pullman', 'Maika Monroe', 'Sela Ward', 'William Fichtner', 'Judd Hirsch', 'Brent Spiner', 'Patrick St. Esprit']","['Nicolas Wright', 'James A. Woods', 'Dean Devlin', 'Roland Emmerich', 'James Vanderbilt']","['Dean Devlin', 'Roland Emmerich', 'Harald Kloser']",2016,Action  Adventure," PG-13
",120.0,165000000.0,103144286.0,389681935.0,Independence Day: Resurgence,224681935.0,1872349.458333333,1.361708696969697,2,Action,0.21574734759375178
364,2413,['David Yates'],"['Alexander Skarsgård', 'Rory J. Saper', 'Christian Stevens', 'Christoph Waltz', 'Samuel L. Jackson', 'Margot Robbie', 'Sidney Ralitsoele', 'Osy Ikhile', 'Mens-Sana Tamakloe', 'Antony Acheampong']","['Adam Cozad', 'Craig Brewer', 'Edgar Rice Burroughs']","['David Barron', 'Tony Ludwig', 'Alan Riche', 'Jerry Weintraub']",2016,Action  Adventure," PG-13
",110.0,180000000.0,126643061.0,356700357.0,The Legend of Tarzan,176700357.0,1606366.8818181818,0.98166865,2,Action,0.04703633157212638
365,2415,['Mike Mitchell'],"['Anna Kendrick', 'Justin Timberlake', 'Zooey Deschanel', 'Christopher Mintz-Plasse', 'Christine Baranski', 'Russell Brand', 'Gwen Stefani', 'John Cleese', 'James Corden', 'Jeffrey Tambor']","['Jonathan Aibel', 'Glenn Berger', 'Erica Rivinoja', 'Thomas Dam']",['Gina Shay'],2016,Animation  Adventure," PG
",92.0,125000000.0,153707064.0,346864462.0,Trolls,221864462.0,2411570.2391304346,1.7749156959999999,2,Animation,0.3991821545029505
366,2416,['Justin Lin'],"['Chris Pine', 'Zachary Quinto', 'Karl Urban', 'Zoe Saldana', 'Simon Pegg', 'John Cho', 'Anton Yelchin', 'Idris Elba', 'Sofia Boutella', 'Joe Taslim']","['Simon Pegg', 'Doug Jung', 'Gene Roddenberry']","['J.J. Abrams', 'Justin Lin', 'Roberto Orci', 'Lindsey Weber']",2016,Action  Adventure," PG-13
",122.0,185000000.0,158848340.0,343471816.0,Star Trek Beyond,158471816.0,1298949.31147541,0.8566044108108108,2,Action,-0.008483382810137401
367,2417,['Yimou Zhang'],"['Matt Damon', 'Tian Jing', 'Willem Dafoe', 'Andy Lau', 'Pedro Pascal', 'Hanyu Zhang', 'Han Lu', 'Kenny Lin', 'Eddie Peng', 'Xuan Huang']","['Carlo Bernard', 'Doug Miro', 'Tony Gilroy', 'Max Brooks']","['Jon Jashni', 'Peter Loehr', 'Charles Roven', 'Thomas Tull']",2016,Action  Adventure," PG-13
",103.0,150000000.0,45540830.0,334933831.0,The Great Wall,184933831.0,1795474.087378641,1.2328922066666668,2,Action,0.15856189797428846
368,2418,['Jon M. Chu'],"['Jesse Eisenberg', 'Mark Ruffalo', 'Woody Harrelson', 'Dave Franco', 'Daniel Radcliffe', 'Lizzy Caplan', 'Jay Chou', 'Sanaa Lathan', 'Michael Caine', 'Morgan Freeman']","['Ed Solomon', 'Peter Chiarelli', 'Boaz Yakin', 'Edward Ricourt']","['Bobby Cohen', 'Alex Kurtzman', 'Roberto Orci']",2016,Action  Adventure," PG-13
",129.0,90000000.0,65075540.0,334897606.0,Now You See Me 2,244897606.0,1898431.054263566,2.721084511111111,2,Action,0.8192144731972518
369,2425,['Dave Green'],"['Megan Fox', 'Will Arnett', 'Laura Linney', 'Stephen Amell', 'Noel Fisher', 'Jeremy Howard', 'Pete Ploszek', 'Alan Ritchson', 'Tyler Perry', 'Brian Tee']","['Josh Appelbaum', 'André Nemec', 'Peter Laird', 'Kevin Eastman']","['Michael Bay', 'Andrew Form', 'Brad Fuller', 'Scott Mednick', 'Galen Walker']",2016,Action  Adventure," PG-13
",112.0,135000000.0,82051601.0,245623848.0,Teenage Mutant Ninja Turtles: Out of the Shadows,110623848.0,987712.9285714284,0.8194359111111111,2,Action,-0.02498357903507846
370,2426,['Clint Eastwood'],"['Tom Hanks', 'Aaron Eckhart', 'Valerie Mahaffey', 'Delphi Harrington', ""Mike O'Malley"", 'Jamey Sheridan', 'Anna Gunn', 'Holt McCallany', 'Ahmed Lucan', 'Laura Linney']","['Todd Komarnicki', 'Chesley Sullenberger', 'Jeffrey Zaslow']","['Clint Eastwood', 'Frank Marshall', 'Tim Moore', 'Allyn Stewart']",2016,Biography  Drama," PG-13
",96.0,60000000.0,125070033.0,240797623.0,Sully,180797623.0,1883308.572916667,3.0132937166666665,2,Biography,0.9489347812364745
371,2427,['Justin Kurzel'],"['Michael Fassbender', 'Marion Cotillard', 'Jeremy Irons', 'Brendan Gleeson', 'Charlotte Rampling', 'Michael Kenneth Williams', 'Denis Ménochet', 'Ariane Labed', 'Khalid Abdalla', 'Essie Davis']","['Michael Lesslie', 'Adam Cooper', 'Bill Collage']","['Jean-Julien Baronnet', 'Patrick Crowley', 'Michael Fassbender', 'Gerard Guillemot']",2016,Action  Adventure," PG-13
",115.0,125000000.0,54647948.0,240697856.0,Assassin's Creed,115697856.0,1006068.3130434784,0.925582848,2,Action,0.02213818540238285
372,2428,['Theodore Melfi'],"['Taraji P. Henson', 'Octavia Spencer', 'Janelle Monáe', 'Kevin Costner', 'Kirsten Dunst', 'Jim Parsons', 'Mahershala Ali', 'Aldis Hodge', 'Glen Powell', 'Kimberly Quinn']","['Allison Schroeder', 'Theodore Melfi', 'Margot Lee Shetterly']","['Peter Chernin', 'Donna Gigliotti', 'Theodore Melfi', 'Jenno Topping', 'Pharrell Williams']",2016,Biography  Drama," PG
",127.0,25000000.0,169607287.0,235956898.0,Hidden Figures,210956898.0,1661077.937007874,8.43827592,2,Biography,3.3572448178273864
373,2430,['Ron Howard'],"['Tom Hanks', 'Felicity Jones', 'Omar Sy', 'Irrfan Khan', 'Sidse Babett Knudsen', 'Ben Foster', 'Ana Ularu', 'Ida Darvish', 'Paolo Antonio Simioni', 'Alessandro Grimaldi']","['Dan Brown', 'David Koepp']","['Brian Grazer', 'Ron Howard']",2016,Action  Crime," PG-13
",121.0,75000000.0,34343574.0,220021259.0,Inferno,145021259.0,1198522.8016528923,1.9336167866666667,2,Action,0.46963426202057845
374,2432,['Sharon Maguire'],"['Renée Zellweger', 'Gemma Jones', 'Jim Broadbent', 'Sally Phillips', 'Julian Rhind-Tutt', 'Shirley Henderson', 'Ben Willbond', 'Paul Bentall', 'Colin Firth', 'Agni Scott']","['Helen Fielding', 'Dan Mazer', 'Emma Thompson']","['Tim Bevan', 'Eric Fellner', 'Debra Hayward']",2016,Comedy  Drama," R
",123.0,35000000.0,24252420.0,211952420.0,Bridget Jones's Baby,176952420.0,1438637.5609756096,5.055783428571429,2,Comedy,1.8556563682292417
375,2437,['Soi Cheang'],"['Aaron Kwok', 'Li Gong', 'Shaofeng Feng', 'Shenyang Xiao', 'Him Law', 'Fei Xiang', 'Kelly Chen', 'Giselle Chia', 'John Ching', 'Chutian Liu']","['Ping Ran', 'Ning Wen', ""Cheng'en Wu""]",[],2016,Action  Adventure," Not Rated
",119.0,68005000.0,709982.0,193678298.0,The Monkey King 2,125673298.0,1056078.1344537814,1.8480008528784648,2,Action,0.4316268170362358
376,2439,"['Nicholas Stoller', 'Doug Sweetland']","['Andy Samberg', 'Katie Crown', 'Kelsey Grammer', 'Jennifer Aniston', 'Ty Burrell', 'Anton Starkman', 'Keegan-Michael Key', 'Jordan Peele', 'Danny Trejo', 'Stephen Kramer Glickman']",['Nicholas Stoller'],"['Bradford Lewis', 'Nicholas Stoller']",2016,Animation  Adventure," PG
",87.0,70000000.0,72679278.0,183388953.0,Storks,113388953.0,1303321.2988505748,1.6198421857142855,2,Animation,0.33034043719722417
377,2440,['Mel Gibson'],"['Andrew Garfield', 'Richard Pyros', 'Jacob Warner', 'Milo Gibson', 'Darcy Bryce', 'Roman Guerriero', 'James Lugton', 'Kasia Stelmach', 'Hugo Weaving', 'Rachel Griffiths']","['Robert Schenkkan', 'Andrew Knight']","['Terry Benedict', 'Paul Currie', 'Bruce Davey', 'William D. Johnson']",2016,Biography  Drama," R
",139.0,40000000.0,67209615.0,180450918.0,Hacksaw Ridge,140450918.0,1010438.2589928056,3.51127295,2,Biography,1.1700024899772743
378,2441,['Robert Schwentke'],"['Shailene Woodley', 'Theo James', 'Naomi Watts', 'Octavia Spencer', 'Jeff Daniels', 'Zoë Kravitz', 'Ansel Elgort', 'Miles Teller', 'Keiynan Lonsdale', 'Daniel Dae Kim']","['Noah Oppenheim', 'Adam Cooper', 'Bill Collage', 'Veronica Roth']","['Nicole Barnette', 'Lucy Fisher', 'Pouya Shahbazian', 'Douglas Wick']",2016,Action  Adventure," PG-13
",120.0,110000000.0,66184051.0,179246868.0,Allegiant,69246868.0,577057.2333333333,0.6295169818181818,2,Action,-0.10929420834437388
379,2442,['Dante Lam'],"['Hanyu Zhang', 'Eddie Peng', 'Baoguo Chen', 'Chun Sun', 'Wenjuan Feng', 'Ken Lo', 'Xudong Wu', 'Carl Ng', 'Jian Zhao', 'Mandy Wei']","['Dante Lam', 'Kang Kei Chu', 'Siu Kwan Lau', 'Wai Ching Tam', 'Eric Lin']","['Jianxin Huang', 'Candy Leung']",2016,Action  Adventure," Not Rated
",124.0,30200000.0,800012.0,173839072.0,Operation Mekong,143639072.0,1158379.6129032257,4.756260662251656,2,Action,1.7226893542780881
380,2443,['Tate Taylor'],"['Emily Blunt', 'Haley Bennett', 'Rebecca Ferguson', 'Justin Theroux', 'Luke Evans', 'Edgar Ramírez', 'Laura Prepon', 'Allison Janney', 'Darren Goldstein', 'Lisa Kudrow']","['Erin Cressida Wilson', 'Paula Hawkins']","['Jared LeBoff', 'Marc Platt']",2016,Crime  Drama," R
",112.0,45000000.0,75395035.0,173185859.0,The Girl on the Train,128185859.0,1144516.5982142857,2.8485746444444446,2,Crime,0.8758111137326485
381,2444,['Cedric Nicolas-Troyan'],"['Chris Hemsworth', 'Charlize Theron', 'Jessica Chastain', 'Emily Blunt', 'Nick Frost', 'Rob Brydon', 'Sheridan Smith', 'Alexandra Roach', 'Sope Dirisu', 'Sam Hazeldine']","['Evan Spiliotopoulos', 'Craig Mazin', 'Evan Daugherty']",['Joe Roth'],2016,Action  Adventure," PG-13
",114.0,115000000.0,48390190.0,164989338.0,The Huntsman: Winter's War,49989338.0,438502.96491228073,0.4346898956521739,2,Action,-0.1957837136417481
382,2445,['Antoine Fuqua'],"['Denzel Washington', 'Chris Pratt', 'Ethan Hawke', ""Vincent D'Onofrio"", 'Byung-hun Lee', 'Manuel Garcia-Rulfo', 'Martin Sensmeier', 'Haley Bennett', 'Peter Sarsgaard', 'Luke Grimes']","['Akira Kurosawa', 'Shinobu Hashimoto', 'Hideo Oguni', 'Nic Pizzolatto', 'Richard Wenk']","['Roger Birnbaum', 'Todd Black']",2016,Action  Adventure," PG-13
",132.0,90000000.0,93432655.0,162360636.0,The Magnificent Seven,72360636.0,548186.6363636364,0.8040070666666667,2,Action,-0.03183289937123081
383,2448,"[""Gavin O'Connor""]","['Ben Affleck', 'Anna Kendrick', 'J.K. Simmons', 'Jon Bernthal', 'Jeffrey Tambor', 'Cynthia Addai-Robinson', 'John Lithgow', 'Jean Smart', 'Andy Umberger', 'Alison Wright']",['Bill Dubuque'],"['Lynette Howell Taylor', 'Mark Williams']",2016,Action  Crime," R
",128.0,44000000.0,86260045.0,155160045.0,The Accountant,111160045.0,868437.8515625,2.526364659090909,2,Action,0.7327725723085061
384,2450,['David Lowery'],"['Bryce Dallas Howard', 'Robert Redford', 'Oakes Fegley', 'Oona Laurence', 'Wes Bentley', 'Karl Urban', 'Isiah Whitlock Jr.', 'Marcus Henderson', 'Aaron Jackson', 'Phil Grieve']","['David Lowery', 'Toby Halbrooks', 'Malcolm Marmorstein', 'Seton I. Miller', 'S.S. Field']",['Jim Whitaker'],2016,Action  Adventure," PG
",102.0,65000000.0,76233151.0,143695338.0,Pete's Dragon,78695338.0,771522.9215686275,1.2106975076923077,2,Action,0.1487090147212853
385,2451,"['Greg Tiernan', 'Conrad Vernon']","['Alistair Abell', 'Iris Apatow', 'Sugar Lyn Beard', 'Michael Cera', 'Ian James Corlett', 'Michael Daingerfield', 'Brian Dobson', 'Michael Dobson', 'James Franco', 'Bill Hader']","['Kyle Hunter', 'Ariel Shaffir', 'Seth Rogen', 'Evan Goldberg', 'Jonah Hill']","['Megan Ellison', 'Evan Goldberg', 'Seth Rogen', 'Conrad Vernon']",2016,Animation  Adventure," R
",89.0,19000000.0,97685686.0,140705322.0,Sausage Party,121705322.0,1367475.5280898877,6.4055432631578935,2,Animation,2.454854676128675
387,2453,['Dennis Gansel'],"['Jason Statham', 'Jessica Alba', 'Tommy Lee Jones', 'Michelle Yeoh', 'Sam Hazeldine', 'John Cenatiempo', 'Toby Eddington', 'Femi Elufowoju Jr.', 'Anteo Quintavalle', 'Yayaying Rhatha Phongam']","['Lewis John Carlino', 'Philip Shelby', 'Tony Mosher']","['William Chartoff', 'Robert Earl', 'John Thompson', 'David Winkler']",2016,Action  Adventure," R
",98.0,40000000.0,21218403.0,125729635.0,Mechanic: Resurrection,85729635.0,874792.1938775509,2.143240875,2,Action,0.5626925941814088
390,2462,['Christian Ditter'],"['Dakota Johnson', 'Rebel Wilson', 'Leslie Mann', 'Damon Wayans Jr.', 'Anders Holm', 'Alison Brie', 'Nicholas Braun', 'Jake Lacy', 'Jason Mantzoukas', 'Colin Jost']","['Abby Kohn', 'Marc Silverstein', 'Dana Fox', 'Liz Tuccillo']","['Dana Fox', 'John Rickard']",2016,Comedy  Drama," R
",110.0,38000000.0,46843513.0,112343513.0,How to Be Single,74343513.0,675850.1181818182,1.9564082368421047,2,Comedy,0.4797520607798524
391,2466,['Sheng Ding'],"['Jackie Chan', 'Zitao Huang', 'Jaycee Chan', 'Kai Wang', 'Fan Xu', 'Hiroyuki Ikeuchi', 'Ping Sang', 'Wing Lun Ng', 'Talu Wang', 'Zoe Zhang']","['Sheng Ding', 'Keke He']","['Jackie Chan', 'Zhao Lei', 'Zhonglun Ren', 'Maofei Zhou']",2016,Action  Adventure," Not Rated
",124.0,50000000.0,218044.0,102205175.0,Railroad Tigers,52205175.0,421009.4758064517,1.0441035,2,Action,0.07475300791360069
392,2469,['Timur Bekmambetov'],"['Jack Huston', 'Toby Kebbell', 'Rodrigo Santoro', 'Nazanin Boniadi', 'Ayelet Zurer', 'Pilou Asbæk', ""Sofia Black-D'Elia"", 'Morgan Freeman', 'Marwan Kenzari', 'Moises Arias']","['Lew Wallace', 'Keith R. Clarke', 'John Ridley']","['Sean Daniel', 'Duncan Henderson', 'Joni Levin']",2016,Action  Adventure," PG-13
",123.0,100000000.0,26410477.0,94061311.0,Ben-Hur,-5938689.0,-48282.024390243896,-0.05938689,2,Action,-0.4151190104472545
393,2470,['Jodie Foster'],"['George Clooney', 'Julia Roberts', ""Jack O'Connell"", 'Dominic West', 'Caitriona Balfe', 'Giancarlo Esposito', 'Christopher Denham', 'Lenny Venito', 'Chris Bauer', 'Dennis Boutsikaris']","['Jamie Linden', 'Alan DiFiore', 'Jim Kouf']","['Lara Alameddine', 'George Clooney', 'Daniel Dubiecki', 'Grant Heslov']",2016,Crime  Drama," R
",98.0,27000000.0,41012075.0,93282604.0,Money Monster,66282604.0,676353.1020408163,2.4549112592592595,2,Crime,0.7010522949853158
395,2477,"['Eric Summer', 'Éric Warin', 'Mimi Maynard', 'Paulette Victor-Lifton']","['Elle Fanning', 'Dane DeHaan', 'Carly Rae Jepsen', 'Maddie Ziegler', 'Terrence Scammell', 'Tamir Kapelian', 'Julie Khaner', 'Joe Sheridan', 'Elana Dunkelman', 'Shoshana Sperling']","['Eric Summer', 'Laurent Zeitoun', 'Carol Noble']","[""Valérie d'Auteuil"", 'Nicolas Duval Adassovsky', 'André Rouleau', 'Laurent Zeitoun', 'Yann Zenou']",2016,Animation  Adventure," PG
",89.0,30000000.0,24702560.0,106127278.0,Leap!,76127278.0,855362.6741573034,2.537575933333333,2,Animation,0.7377495885030317
396,2485,['Tyler Perry'],"['Tyler Perry', 'Cassi Davis', 'Patrice Lovely', 'Bella Thorne', 'Yousef Erakat', 'Lexy Panterra', 'Andre Hall', ""Brock O'Hurn"", 'Liza Koshy', 'Diamond White']",['Tyler Perry'],"['Ozzie Areu', 'Will Areu', 'Tyler Perry']",2016,Comedy  Drama," PG-13
",103.0,20000000.0,73206343.0,74827344.0,Tyler Perry's Boo! A Madea Halloween,54827344.0,532304.3106796115,2.7413672000000004,2,Comedy,0.8282185586281957
397,2486,['Patricia Riggen'],"['Jennifer Garner', 'Kylie Rogers', 'Martin Henderson', 'Brighton Sharbino', 'Courtney Fansler', 'Queen Latifah', 'Eugenio Derbez', 'Kelly Collins Lintz', 'John Carroll Lynch', 'Brandon Spink']","['Christy Beam', 'Randy Brown']","['DeVon Franklin', 'T.D. Jakes', 'Joe Roth']",2016,Biography  Drama," PG
",109.0,13000000.0,61705123.0,73983003.0,Miracles from Heaven,60983003.0,559477.0917431193,4.691000230769231,2,Biography,1.6937183187538043
398,2490,['Chris Wedge'],"['Lucas Till', 'Jane Levy', 'Thomas Lennon', 'Barry Pepper', 'Rob Lowe', 'Danny Glover', 'Amy Ryan', 'Holt McCallany', 'Frank Whaley', ""Aliyah O'Brien""]","['Derek Connolly', 'Matthew Robinson', 'Jonathan Aibel', 'Glenn Berger']","['Mary Parent', 'Denis L. Stewart']",2016,Action  Adventure," PG
",104.0,125000000.0,33370166.0,64493915.0,Monster Trucks,-60506085.0,-581789.2788461539,-0.48404868,2,Action,-0.6036389378278941
399,2496,['Barry Sonnenfeld'],"['Kevin Spacey', 'Jennifer Garner', 'Robbie Amell', 'Cheryl Hines', 'Mark Consuelos', 'Malina Weissman', 'Christopher Walken', 'Talitha Eliana Bateman', 'Teddy Sears', 'Jay Patterson']","['Gwyn Lurie', 'Matt Allen', 'Caleb Wilson', 'Dan Antoniazzi', 'Ben Shiffrin']",['Lisa Ellzey'],2016,Comedy  Drama," PG
",87.0,30000000.0,19700032.0,57814445.0,Nine Lives,27814445.0,319706.2643678161,0.9271481666666668,2,Comedy,0.02283307665070443
400,2497,['Ben Stiller'],"['Justin Bieber', 'Jon Daly', 'Penélope Cruz', 'Ben Stiller', 'Katie Couric', 'Amy Stiller', 'Charlotte Townsend', 'Christine Taylor', 'Jim Lehrer', 'Owen Wilson']","['Justin Theroux', 'Ben Stiller', 'Nicholas Stoller', 'John Hamburg', 'Drake Sather']","['Stuart Cornfeld', 'Jeff Mann', 'Scott Rudin', 'Ben Stiller', 'Clayton Townsend']",2016,Action  Adventure," PG-13
",101.0,50000000.0,28848693.0,56722693.0,Zoolander 2,6722693.0,66561.31683168317,0.13445386,2,Action,-0.32906736894353295
401,2498,['Malcolm D. Lee'],"['Ice Cube', 'Cedric the Entertainer', 'Regina Hall', 'Sean Patrick Thomas', 'Eve', 'Anthony Anderson', 'Jazsmin Lewis', 'J.B. Smoove', 'Common', 'Nicki Minaj']","['Kenya Barris', 'Tracy Oliver', 'Mark Brown']","['Ice Cube', 'Robert Teitel', 'George Tillman Jr.']",2016,Comedy  Drama," PG-13
",111.0,20000000.0,54030051.0,55030051.0,Barbershop: The Next Cut,35030051.0,315586.04504504503,1.75150255,2,Comedy,0.3887883665813382
403,2501,['Peter Berg'],"['Mark Wahlberg', 'Dicky Eklund Jr.', 'Michael Marchand', 'Rhet Kidd', 'John Goodman', 'Frank Czarnowski', ""Christopher O'Shea"", 'Rachel Brosnahan', 'Jake Picking', 'Lana Condor']","['Peter Berg', 'Matt Cook', 'Joshua Zetumer', 'Paul Tamasy', 'Eric Johnson']","['Dorothy Aufiero', 'Dylan Clark', 'Stephen Levinson', 'Hutch Parker']",2016,Action  Crime," R
",133.0,45000000.0,31886361.0,52185751.0,Patriots Day,7185751.0,54028.2030075188,0.15968335555555555,2,Action,-0.31786724973812125
405,2508,['Garry Marshall'],"['Jennifer Aniston', 'Timothy Olyphant', 'Shay Mitchell', 'Caleb Brown', 'Brandon Spink', 'Sam Marshall', 'Siena LaGambina', 'Joseph Leo Bwarie', 'Matthew Walker', 'Suzanne Haring']","['Anya Kochoff', 'Matthew Walker', 'Tom Hines', 'Lily Hollander', 'Garry Marshall']","['Brandt Andersen', 'Howard Burd', 'Daniel Diamond', 'Mark DiSalle']",2016,Comedy  Drama," PG-13
",118.0,25000000.0,32492859.0,48782670.0,Mother's Day,23782670.0,201548.05084745766,0.9513068000000001,2,Comedy,0.03355780844636587
407,2514,['Woody Allen'],"['Steve Carell', 'Sheryl Lee', 'Todd Weeks', 'Paul Schackman', 'Jodi Carlisle', 'Jeannie Berlin', 'Ken Stott', 'Richard Portnow', 'Jesse Eisenberg', 'Sari Lennick']",['Woody Allen'],"['Letty Aronson', 'Stephen Tenenbaum', 'Edward Walson']",2016,Comedy  Drama," PG-13
",96.0,30000000.0,11103205.0,43763247.0,Café Society,13763247.0,143367.15625,0.4587749,2,Comedy,-0.18509166793023127
408,2516,['David E. Talbert'],"['Danny Glover', 'Gabrielle Union', ""Mo'Nique"", 'Kimberly Elise', 'Romany Malco', 'J.B. Smoove', 'Jessie T. Usher', 'John Michael Higgins', 'Nicole Ari Parker', 'Omar Epps']",['David E. Talbert'],['Will Packer'],2016,Comedy  Drama," PG-13
",111.0,17000000.0,42158780.0,42580920.0,Almost Christmas,25580920.0,230458.73873873876,1.50476,2,Comedy,0.2792520515582375
409,2518,"['Vincent Kesteloot', 'Ben Stassen', 'Mimi Maynard']","['Matthias Schweighöfer', 'Kaya Yanar', 'Ilka Bessin', 'Dieter Hallervorden', 'Aylin Tezel', 'Ghadah Al-Akel', 'Tommy Morgenstern', 'Melanie Hinze', 'Bert Franzke', 'Tobias Lelle']",['Domonic Paris'],"['Gina Gallo', 'Mimi Maynard', 'Domonic Paris', 'Ben Stassen', 'Caroline Van Iseghem']",2016,Animation  Adventure," PG
",91.0,13000000.0,8005586.0,40075446.0,The Wild Life,27075446.0,297532.37362637365,2.082726615384616,2,Animation,0.5358285247105354
410,2521,['Woo-Ping Yuen'],"['Donnie Yen', 'Michelle Yeoh', 'Harry Shum Jr.', 'Natasha Liu Bordizzo', 'Jason Scott Lee', 'Eugenia Yuan', 'Roger Yuan', 'JuJu Chan', 'Chris Pang', 'Woon Young Park']","['John Fusco', 'Du Lu Wang']","['Peter Berg', 'Charlie Nguyen']",2016,Action  Adventure," PG-13
",96.0,20000000.0,,38659039.0,"Crouching Tiger, Hidden Dragon: Sword of Destiny",18659039.0,194364.9895833333,0.93295195,2,Action,0.025409547711434763
411,2522,['David Mackenzie'],"['Dale Dickey', 'Ben Foster', 'Chris Pine', 'William Sterchi', 'Buck Taylor', 'Kristin K. Berg', 'Jeff Bridges', 'Gil Birmingham', 'Keith Meriweather', 'Jackamoe Buzzell']",['Taylor Sheridan'],"['Peter Berg', 'Carla Hacken', 'Sidney Kimmel', 'Julie Yorn']",2016,Action  Crime," R
",102.0,12000000.0,27007844.0,37879877.0,Hell or High Water,25879877.0,253724.2843137255,2.156656416666667,2,Action,0.5686481498737915
413,2528,['Trevor Wall'],"['Rob Schneider', 'Heather Graham', 'Ken Jeong', 'Bill Nighy', 'Colm Meaney', 'Loretta Devine', 'Michael McElhatton', 'Maya Kay', 'Gabriel Iglesias', 'Salome Jens']","['Malcolm T. Goldman', 'Steven Altiere', 'Daniel Altiere']","['Nicolas Atlan', 'Jack Donaldson', 'Derek Elliott', 'Cathy Ni Fhlaithearta']",2016,Animation  Adventure," PG
",90.0,7000000.0,17062499.0,30734502.0,Norm of the North,23734502.0,263716.6888888889,3.3906431428571433,2,Animation,1.1164513511227239
414,2529,['Jon Cassar'],"['Morris Chestnut', 'Regina Hall', 'Romany Malco', 'Michael Kenneth Williams', 'Glenn Morshower', 'Theo Rossi', 'Jaz Sinclair', 'GiGi Erneta', 'Tom Nowicki', 'Denise Gossett']",['Jack Olsen'],"['Michael Lynne', 'Robert Shaye']",2016,Crime  Drama," PG-13
",107.0,10000000.0,29747603.0,30658387.0,When the Bough Breaks,20658387.0,193069.0373831776,2.0658387,2,Crime,0.5283314796339861
