,Unnamed: 0,directors,actors,writers,producers,year,genres,certificates,duration,Budget,Gross US,Gross Worldwide,titles,Profits,profit-per-length,profit-per-budget,len-genres,macrogenres,MAD
51,4105,['Steven Knight'],"['Tom Hardy', 'Olivia Colman', 'Ruth Wilson', 'Andrew Scott', 'Ben Daniels', 'Tom Holland', 'Bill Milner', 'Danny Webb', 'Alice Lowe', 'Silas Carson']",['Steven Knight'],"['Charles Auty', 'Stephen Fuss', 'Guy Heeley', 'Sarah Micciche']",2014,Drama," R
",85.0,2000000.0,1375769.0,5090608.0,Locke,3090608.0,36360.09411764706,1.545304,1,Drama,0.2972507321923502
52,4164,[],[],[],"['Leif Nelson', 'Carter Pilcher']",2014,Drama," Not Rated
",111.0,820000.0,2171849.0,2171849.0,The Oscar Nominated Short Films 2014: Live Action,1351849.0,12178.819819819819,1.6485963414634146,1,Drama,0.34310525729963415
53,4192,['Ron Krauss'],"['Rosario Dawson', 'Vanessa Hudgens', 'Brendan Fraser', 'James Earl Jones', 'Stephanie Szostak', 'Emily Meade', 'Ann Dowd', 'Dascha Polanco', 'Tashiana Washington', 'Eddie Schweighardt']",['Ron Krauss'],"['Ron Krauss', 'Jeff Rice']",2014,Drama," PG-13
",101.0,3200000.0,1359910.0,1362018.0,Gimme Shelter,-1837982.0,-18197.841584158414,-0.574369375,1,Drama,-0.6437349654511209
54,4208,['Jim Wilson'],"['Skeet Ulrich', 'Christian Kane', 'William Devane', 'Madelyn Deutch', 'Todd Lowe', 'David Atkinson', 'Calvin Borel', 'Bruce Wayne Eckelman', 'Hugo Perez', 'Eloy Casados']","['Faith Conroy', 'Jim Wilson']",['Jim Wilson'],2014,Drama," PG-13
",110.0,10000000.0,1064454.0,1064454.0,50 to 1,-8935546.0,-81232.23636363637,-0.8935546,1,Drama,-0.7854307263011213
55,4387,['Steven Bernstein'],"['Helen Hunt', 'Samantha Morton', 'Aaron Paul', 'Rashida Jones', 'Richard Schiff', 'Alice Eve', 'Bradley Whitford', 'Maggie Grace', 'Marley Shelton', 'Ben McKenzie']","['Adam Bernstein', 'Steven Bernstein', 'Michael Moss']","['Steven Bernstein', 'Keith Kjarval', 'Clark Peterson', 'Stuart W. Ross']",2014,Drama," R
",91.0,2000000.0,48390.0,60048.0,Decoding Annie Parker,-1939952.0,-21318.153846153848,-0.9699760000000001,1,Drama,-0.8193564458209462
56,4392,['Bernardo Bertolucci'],"['Jean-Louis Trintignant', 'Stefania Sandrelli', 'Gastone Moschin', 'Enzo Tarascio', 'Fosco Giachetti', 'José Quaglio', 'Yvonne Sanson', 'Milly', 'Antonio Maestri', 'Alessandro Haber']","['Alberto Moravia', 'Bernardo Bertolucci', 'Lee Kresel']",[],2014,Drama," R
",113.0,750000.0,58657.0,400747.0,The Conformist 2014 Re-release,-349253.0,-3090.7345132743358,-0.4656706666666667,1,Drama,-0.5954803942042721
57,4457,['Livia De Paolis'],"['Livia De Paolis', 'Michael Cristofer', 'Carol Kane', 'Sônia Braga', 'Diane Guerrero', 'Miles Chandler', 'Christine Ebersole', 'Danelle Eliav', 'Daphne Rubin-Vega', 'Allie Gallerani']","['Sarah Nerboso', 'Livia De Paolis']","['Danelle Eliav', 'Livia De Paolis', 'Schuyler Weiss']",2014,Drama," Not Rated
",79.0,150000.0,23881.0,23881.0,Emoticon ;),-126119.0,-1596.4430379746834,-0.8407933333333333,1,Drama,-0.7620084396844926
58,4463,['David Midell'],"['Shawna Waldron', 'Stephen Louis Grush', 'Kate Black-Spence', 'Leslie Easterbrook', 'Jeff Garretson', 'Rachel Chapman', 'Billy Dec', 'Peter ten Brink', 'Justin James Farley', 'Adam Shalzi']","['Nick Izzo', 'Adam Dick', 'David Midell']","['Adam Dick', 'Keaton Wooden']",2014,Drama," R
",97.0,250000.0,21147.0,21147.0,NightLights,-228853.0,-2359.3092783505153,-0.9154120000000001,1,Drama,-0.7951338725642442
59,4477,['Chris Mason Johnson'],"['Scott Marlowe', 'Matthew Risch', 'Evan Boomer', 'Kevin Clarke', 'Kristoffer Cusick', 'Rory Hohenstein', 'Damon K. Sperber', 'Myles Thatcher', 'Katherine Wells', 'Sergio Benvindo']",['Chris Mason Johnson'],"['Chris Mason Johnson', 'Chris Martin']",2014,Drama," TV-MA
",89.0,250000.0,18823.0,18823.0,Test,-231177.0,-2597.494382022472,-0.924708,1,Drama,-0.7992606418809054
60,4484,['Joseph Losey'],"['Dirk Bogarde', 'Stanley Baker', 'Jacqueline Sassard', 'Michael York', 'Vivien Merchant', 'Delphine Seyrig', 'Alexander Knox', 'Ann Firbank', 'Brian Phelan', 'Terence Rigby']","['Nicholas Mosley', 'Harold Pinter']","['Joseph Losey', 'Norman Priggen']",2014,Drama," Not Rated
",105.0,600000.0,17161.0,64675.0,Accident 2014 Re-release,-535325.0,-5098.333333333333,-0.8922083333333334,1,Drama,-0.7848330787137671
